code,name,lat,lng,google_place_id
11.0,Aceh,5.5321162,95.3046696,ChIJvcR8UN-bOTARYMogsoCdAwE
17.0,Bengkulu,-3.7928451,102.2607641,ChIJeZLjNx6wNi4R6qaQ53a1eaA
15.0,Jambi,-1.6101229,103.6131203,ChIJO83is5qIJS4RDdmyCseZWtE
19.0,Kepulauan Bangka Belitung,-2.1318386,106.1027603,ChIJizmlLUMWFy4RuSOEsf04fhI
21.0,Kepulauan Riau,3.9456514,108.1428669,ChIJAQuH1E1l2TERvCSFiXW1RnI
18.0,Lampung,-5.3959608,105.2419925,ChIJpyKsUwF2Oy4RmrCJX8dYO48
14.0,Riau,0.4608848,101.4376641,ChIJdz6xGVhXJy4Rsb21bJQCb4M
13.0,Sumatera Barat,-0.9486592,100.399004,ChIJRUJ08Ey51C8RVTvVdblRsXA
16.0,Sumatera Selatan,-3.0012958,104.7658405,ChIJLeo1PXWLEC4Rz8QB4gGB_Bg
12.0,Sumatera Utara,3.5855449,98.6496977,ChIJhxxy61r51y8RC8vXCYE-p6w
